Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
EEDFELNL_01363_gene,195.9690299,-0.022886521,0.258010294,-0.088703908,0.929317227,0.976310744,0
EEDFELNL_01364_gene,2522.603261,0.474377822,0.210886231,2.249449006,0.024483944,0.153382739,0
EEDFELNL_01365_gene,247.3833968,-0.041115311,0.25273425,-0.162681993,0.870768826,0.946619495,0
EEDFELNL_01366_gene,94.70783141,0.451098008,0.304040099,1.483679323,0.137894014,0.389386036,0
EEDFELNL_01367_gene,284.8318034,0.008039125,0.30204835,0.026615357,0.978766524,0.991799347,0
EEDFELNL_01368_gene,195.0635023,0.018798482,0.377448573,0.049804087,0.96027851,0.986103981,0
EEDFELNL_01369_gene,126.0830502,-0.941109378,0.257116368,-3.660246858,0.000251972,0.005794073,0
EEDFELNL_00142_gene,671.6692486,-1.236050272,0.575805513,-2.146645428,0.03182152,0.17948138,0
EEDFELNL_01370_gene,107.8612504,-0.88971667,0.35284838,-2.521526864,0.011684675,0.097568127,0
EEDFELNL_01371_gene,872.1709886,-0.770297977,0.265429646,-2.902079666,0.003706943,0.043884164,0
EEDFELNL_01372_gene,537.6276747,-1.155115563,0.295142072,-3.913761104,9.09E-05,0.002611917,0
EEDFELNL_01373_gene,119.5749822,-0.07061253,0.289781667,-0.243674938,0.807482585,0.921227387,0
EEDFELNL_01374_gene,149.5897671,-0.240106292,0.318420193,-0.754054853,0.450816285,0.692296374,0
EEDFELNL_01375_gene,52.29728253,0.114687826,0.345883299,0.331579542,0.74020677,0.883290986,0
EEDFELNL_01376_gene,72.89691915,0.093302479,0.305462497,0.305446594,0.760026039,0.893304524,0
EEDFELNL_01377_gene,854.8920073,-0.708824737,0.258058133,-2.746763799,0.006018646,0.062327043,0
EEDFELNL_01378_gene,1118.543131,-0.533179716,0.327186667,-1.629588764,0.103188441,0.33449823,0
EEDFELNL_01379_gene,134.3366119,-0.111866034,0.282504006,-0.395980347,0.692119526,0.861369398,0
EEDFELNL_00143_gene,46.39235606,-0.576251786,0.583751549,-0.987152475,0.323567896,0.592195284,0
EEDFELNL_01380_gene,42.52778604,0.314589509,0.386615895,0.813700403,0.415816603,0.666853237,0
EEDFELNL_01381_gene,19.53889879,-0.310328258,0.478603236,-0.648404011,0.516723677,NA,0
EEDFELNL_01382_gene,38.82395632,0.608687504,0.413688091,1.471368206,0.141191567,0.393965766,0
EEDFELNL_01383_gene,376.9470215,-0.226555339,0.245480397,-0.922906031,0.356056177,0.618340782,0
EEDFELNL_01384_gene,23.44886919,-0.240607522,0.454674736,-0.529186037,0.596676402,NA,0
EEDFELNL_01385_gene,166.6035732,-0.422548319,0.383739634,-1.101132857,0.270838839,0.545081397,0
EEDFELNL_01386_gene,30.15124075,-0.914918693,0.439893466,-2.079864249,0.037537986,0.196733644,0
EEDFELNL_01387_gene,44.90310228,-0.693411061,0.445192563,-1.557553108,0.119339222,0.358349014,0
EEDFELNL_01388_gene,22.84633896,-0.164571548,0.494850082,-0.332568498,0.739460026,NA,0
EEDFELNL_01389_gene,13.0601943,-0.080526699,0.557850062,-0.144351868,0.885222622,NA,0
EEDFELNL_00144_gene,123.4031415,-0.723436575,0.572659686,-1.263292305,0.206484151,0.472867687,0
EEDFELNL_01390_gene,0.84987709,3.057986187,2.60675093,1.173102559,0.24075468,NA,0
EEDFELNL_01391_gene,15.15938046,-0.152808067,0.822403983,-0.185806575,0.852596448,NA,0
EEDFELNL_01392_gene,7.602042334,-0.545111499,0.771032857,-0.706988676,0.479573515,NA,0
EEDFELNL_01393_gene,5.84290705,-0.425545739,0.883213082,-0.481815484,0.629937028,NA,0
EEDFELNL_01394_gene,431.9710684,0.08377392,0.239243101,0.350162321,0.726216882,0.877883282,0
EEDFELNL_01395_gene,130.6433597,-1.41681381,0.770157877,-1.839640744,0.065820998,0.267823373,0
EEDFELNL_01396_gene,133.848769,-1.581873098,0.748007147,-2.114783402,0.034448412,0.187915669,0
EEDFELNL_01397_gene,537.7150801,-0.175967111,0.231130226,-0.761333185,0.446458085,0.691285106,0
EEDFELNL_01398_gene,323.5222733,0.020892965,0.257946972,0.080997131,0.935444234,0.978146415,0
EEDFELNL_01399_gene,21.50176115,-0.946797232,0.598050374,-1.583139602,0.113389649,NA,0
EEDFELNL_00145_gene,29.44731616,-0.401829528,0.541224097,-0.742445745,0.457817312,0.698747184,0
EEDFELNL_01400_gene,687.8246369,-0.712709659,0.283639491,-2.512730704,0.011980075,0.098747526,0
EEDFELNL_01401_gene,243.4594589,-1.049283871,0.315610136,-3.324620319,0.00088539,0.015038218,0
EEDFELNL_01402_gene,187.2274516,-0.993460453,0.275795425,-3.602164362,0.000315579,0.006990359,0
EEDFELNL_01403_gene,2496.222353,-0.195761752,0.280504604,-0.697891403,0.485245111,0.721192933,0
EEDFELNL_01404_gene,184.8804521,-0.221101849,0.238624325,-0.926568773,0.354150474,0.616395794,0
EEDFELNL_01405_gene,1201.0651,0.503943856,0.221191463,2.278315123,0.022707809,0.146443695,0
EEDFELNL_01406_gene,137.6305164,-0.429877805,0.272427109,-1.57795532,0.114575875,0.353341281,0
EEDFELNL_01407_gene,2885.378704,0.14535242,0.270356541,0.537632341,0.590830898,0.800146707,0
EEDFELNL_01408_gene,3381.650831,0.00812838,0.360905135,0.022522206,0.982031399,0.993547886,0
EEDFELNL_01409_gene,75.3869357,-0.162112349,0.346129497,-0.468357509,0.639528949,0.829716559,0
EEDFELNL_00146_gene,240.2540058,-0.666340203,0.660979339,-1.008110487,0.313401424,0.58528547,0
EEDFELNL_01410_gene,0,NA,NA,NA,NA,NA,0
EEDFELNL_01411_gene,8977.718266,-0.487649818,0.31267163,-1.55962285,0.118849034,0.358349014,0
EEDFELNL_01412_gene,189.9381376,0.158388253,0.320766197,0.493781,0.621460853,0.818153396,0
