Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
HAAAELCE_01346_gene,10.35125438,-0.567994798,0.729770433,-0.778319828,0.436380489,0.63190459,0
HAAAELCE_01347_gene,64.85113661,-0.55793895,0.322682697,-1.729063739,0.083797688,0.210256017,0
HAAAELCE_01348_gene,0.842568151,1.680408942,2.385705118,0.704365736,0.481205038,NA,0
HAAAELCE_01349_gene,17.93567168,-0.133414185,0.526690643,-0.25330654,0.800031342,0.89142687,0
HAAAELCE_00133_gene,90.14865391,-0.794826259,0.329437966,-2.412673523,0.015835997,0.060286004,0
HAAAELCE_01350_gene,49.1906637,0.309220294,0.331390537,0.933099348,0.350768676,0.552249513,0
HAAAELCE_01351_gene,2.984090025,-0.23418376,1.213623954,-0.192962375,0.846988435,0.917549238,0
HAAAELCE_01352_gene,3.283889706,1.358995539,1.17105662,1.16048662,0.245850738,0.442413311,0
HAAAELCE_01353_gene,9.018615705,0.137204735,0.677897171,0.202397563,0.839605933,0.913907001,0
HAAAELCE_01354_gene,7.634471786,-0.255721959,0.812113185,-0.31488463,0.752849252,0.863797105,0
HAAAELCE_01355_gene,0.209443862,-1.225569503,4.080472857,-0.300349873,0.763910295,NA,0
HAAAELCE_01356_gene,0.841961567,-3.347977537,2.540393122,-1.317897418,0.18753799,NA,0
HAAAELCE_01357_gene,5.484839722,-1.183145153,0.925915306,-1.277811421,0.201315927,0.388576054,0
HAAAELCE_01358_gene,2.171321211,-0.55868215,1.358629647,-0.411210039,0.680918528,NA,0
HAAAELCE_01359_gene,128.1588858,-0.202911145,0.250725732,-0.809295254,0.418345335,0.615968592,0
HAAAELCE_00134_gene,225.5463032,-0.748813251,0.210906878,-3.550444904,0.000384581,0.00284951,0
HAAAELCE_01360_gene,53.26850833,-0.595802918,0.364904507,-1.632763932,0.102518656,0.242867713,0
HAAAELCE_01361_gene,1.651281514,1.742320986,1.67800431,1.038329267,0.299116787,NA,0
HAAAELCE_01362_gene,2.976411308,0.636059389,1.223765494,0.519755944,0.603233689,0.763201917,0
HAAAELCE_01363_gene,2.850210263,-1.873876048,1.356411183,-1.381495576,0.167126637,0.338919558,0
HAAAELCE_01364_gene,90.43150666,-0.033603942,0.308771771,-0.108831006,0.913336531,0.954058906,0
HAAAELCE_01365_gene,12.0271557,-0.167302674,0.704254322,-0.237560024,0.812222359,0.899093489,0
HAAAELCE_01366_gene,1.932254284,-3.449986839,1.758089882,-1.962349521,0.049721805,NA,0
HAAAELCE_01367_gene,26.34559676,-0.249715502,0.483011739,-0.516996755,0.605158424,0.764585603,0
HAAAELCE_01368_gene,26.33293995,-0.13404847,0.415263101,-0.32280371,0.746843903,0.859956532,0
HAAAELCE_01369_gene,151.1817611,-0.4315151,0.261714743,-1.648799357,0.099188747,0.23702246,0
HAAAELCE_00135_gene,115.7740085,0.473122757,0.257980211,1.833949805,0.066661445,0.177849772,0
HAAAELCE_01370_gene,171.9633839,1.411255766,0.253204018,5.573591521,2.50E-08,5.14E-07,0
HAAAELCE_01371_gene,132.876887,0.737960409,0.279606475,2.639282262,0.008308177,0.036311274,0
HAAAELCE_01372_gene,637.2910546,0.724865336,0.249069035,2.910298885,0.003610833,0.018506775,0
HAAAELCE_01373_gene,24.01691856,-1.25816627,0.471986184,-2.66568453,0.007683175,0.034192029,0
HAAAELCE_01375_gene,2085.813897,0.371615246,0.21308651,1.743964211,0.081165331,0.205708276,0
HAAAELCE_01376_gene,68.30238444,-0.303199559,0.306178008,-0.990272167,0.322041107,0.52407633,0
HAAAELCE_01377_gene,34.82593245,0.18878396,0.366914529,0.514517537,0.606890203,0.765722038,0
HAAAELCE_01378_gene,83.87470727,0.035660708,0.281300631,0.126770808,0.899121801,0.947166477,0
HAAAELCE_01379_gene,112.0564132,-0.6378704,0.282498566,-2.257959779,0.023948167,0.082415139,0
HAAAELCE_01380_gene,598.6879928,0.057995054,0.236926089,0.244781207,0.806625846,0.895710052,0
HAAAELCE_00136_gene,456.0904368,0.60043772,0.205938923,2.915610658,0.003549932,0.0182795,0
HAAAELCE_01381_gene,5.272160582,-0.675337911,0.979255503,-0.689644234,0.490417943,0.67865002,0
HAAAELCE_01382_gene,51.91097513,0.287813346,0.360723269,0.797878516,0.424940992,0.620921306,0
HAAAELCE_01383_gene,34.21947577,-0.67739711,0.418095371,-1.620197586,0.10518984,0.247141574,0
HAAAELCE_01384_gene,48.85700137,0.017280529,0.340888867,0.050692559,0.959570506,0.980803029,0
HAAAELCE_01385_gene,309.4458675,-0.226792889,0.199105434,-1.139059262,0.254678438,0.452427609,0
HAAAELCE_01386_gene,700.6775428,0.189131349,0.20160931,0.93810821,0.348188803,0.549617881,0
HAAAELCE_01387_gene,419.1818055,0.100496073,0.213984123,0.469642663,0.638610339,0.78752916,0
HAAAELCE_01388_gene,60.6232306,-0.516110602,0.358662975,-1.438984888,0.150154804,0.314198074,0
HAAAELCE_01389_gene,185.8927147,-0.102921576,0.24507549,-0.419958668,0.674515648,0.815769758,0
HAAAELCE_01390_gene,3.403651477,0.512529454,1.225418909,0.418248364,0.675765539,0.816420611,0
HAAAELCE_00137_gene,13.21551552,-0.048979737,0.532984974,-0.091897032,0.92677985,0.96116775,0
